,time,master,worker
0,1672475691726.2842,6086.812,11439.98
1,1672475676689.9365,6086.024,11508.504
2,1672475661654.6335,6197.3,11515.768
3,1672475646621.9768,6139.868,11600.48
4,1672475631586.7803,6081.82,11251.82
5,1672475616551.7092,6170.376,10943.684
6,1672475601516.3623,6094.028,11394.612
7,1672475586493.7932,6069.044,10886.9
8,1672475571460.2988,6179.748,11540.18
9,1672475556425.5613,6126.804,11251.896
10,1672475541390.3474,6053.768,11407.72
11,1672475526355.4343,6167.188,11362.996
12,1672475511322.2104,6075.688,11516.052
13,1672475496286.8782,6041.112,11250.836
14,1672475481251.378,5826.356,11416.488
15,1672475466227.7046,5828.464,11196.82
