,time,avg,replicas,for pod
0,1672478347971.2205,49.714631,1,[49.714631]
1,1672478363222.4316,126.097676,3,"[38.676673, 46.551042, 40.869961]"
2,1672478378453.9397,206.461364,9,"[29.880912, 11.101356, 14.133154, 17.587276, 13.158846, 9.872056, 15.042021, 48.888623, 46.79712]"
3,1672478393709.2327,301.02607,13,"[29.880912, 16.865894, 15.186513, 14.758892, 33.45252, 12.124788, 11.579891, 8.861881, 10.433573, 43.025689, 37.413338, 46.79712, 20.645059]"
4,1672478408986.0789,168.08387100000002,7,"[6.828583, 17.50527, 39.373889, 16.75273, 42.569107, 25.468955, 19.585337]"
5,1672478424249.8367,47.278309,1,[47.278309]
6,1672478439558.0112,50.064843,1,[50.064843]
7,1672478454835.9795,177.140604,4,"[33.758279, 46.393147, 48.303702, 48.685476]"
8,1672478470062.6663,18.767484,1,[18.767484]
9,1672478485325.2244,47.665223,1,[47.665223]
10,1672478500553.182,49.86937,1,[49.86937]
11,1672478515820.8228,170.792193,4,"[48.100315, 47.578371, 40.420323, 34.693184]"
12,1672478531102.195,18.806547,1,[18.806547]
13,1672478546330.0322,47.767879,1,[47.767879]
14,1672478561584.3367,50.443829,1,[50.443829]
