,time,avg,replicas,for pod
0,1672478588036.888,30.968,1,[30.968]
1,1672478603323.2158,32.784,1,[32.784]
2,1672478618565.9543,32.36,1,[32.36]
3,1672478633837.3745,113.24000000000001,4,"[30.592, 28.148, 27.832, 26.668]"
4,1672478649076.5286,30.316,1,[30.316]
5,1672478664341.2805,33.156,1,[33.156]
6,1672478679616.8008,32.864,1,[32.864]
7,1672478694867.517,116.80000000000001,4,"[28.992, 30.6, 28.736, 28.472]"
8,1672478710157.2598,30.504,1,[30.504]
9,1672478725397.7407,31.616,1,[31.616]
10,1672478740624.32,0.0,0,[]
11,1672478755855.5237,114.404,4,"[28.244, 28.456, 28.64, 29.064]"
12,1672478771104.7332,150.292,5,"[35.156, 29.256, 28.3, 28.516, 29.064]"
13,1672478786534.4177,244.972,8,"[35.156, 28.408, 28.24, 28.6, 29.452, 27.764, 35.264, 32.088]"
14,1672478801791.2485,28.68,1,[28.68]
