,time,master,worker
0,1672477612785.787,354.536145,6366.679643
1,1672477597751.981,434.83211,4921.774527
2,1672477582717.556,341.720553,6151.653315
3,1672477567683.9907,425.899662,5448.563732
4,1672477552655.2986,302.49163,6390.397235
5,1672477537626.8496,605.242607,5722.613433
6,1672477522593.346,555.36731,6562.054425
7,1672477507560.3987,435.105947,5859.947182
8,1672477492523.9258,359.283038,5979.571895
9,1672477477503.2664,567.230666,6103.563781
10,1672477462468.5312,399.764097,5809.373299
11,1672477447445.834,397.82783,5659.407952
12,1672477432413.5806,306.512558,5938.339839
13,1672477417378.6362,910.630636,5529.918805
14,1672477402343.6045,452.70481,6172.048027
15,1672477387308.178,402.167414,5981.374087
