,time,avg,replicas,for pod
0,1672419747286.8303,106.291055,4,"[33.988516, 16.12545, 47.277702, 8.899387]"
1,1672419762460.5132,136.98772,5,"[13.883029, 36.42032, 20.145622, 50.066072, 16.472677]"
2,1672419777627.2546,18.538396,1,[18.538396]
3,1672419792825.5923,48.376411,1,[48.376411]
4,1672419807980.5857,97.599919,2,"[49.201948, 48.397971]"
5,1672419823150.9563,61.559492,2,"[13.186239, 48.373253]"
6,1672419838316.5337,66.01167,2,"[15.915455, 50.096215]"
7,1672419853486.6108,117.36545000000001,3,"[46.780766, 20.581789, 50.002895]"
8,1672419868657.8118,101.10548399999999,3,"[46.780766, 16.247727, 38.076991]"
9,1672419883817.0654,89.43256699999999,3,"[47.387098, 19.515338, 22.530131]"
10,1672419898984.949,109.90651600000001,3,"[49.914733, 19.043148, 40.948635]"
11,1672419914155.8193,107.83330099999999,4,"[40.728469, 20.216728, 16.974608, 29.913496]"
12,1672419929329.8157,160.456364,5,"[49.936753, 11.223769, 16.895496, 42.48586, 39.914486]"
13,1672419944495.7366,48.335238,1,[48.335238]
14,1672419959713.1113,49.62983,1,[49.62983]
