,time,master,worker
0,1672432457858.494,530.375287,6065.058745
1,1672432442824.0962,554.049723,5701.354733
2,1672432427789.8662,419.509945,5933.880391
3,1672432412763.9546,504.266345,5718.625075
4,1672432397728.5686,810.026877,5814.573281
5,1672432382697.728,726.9073,6333.442645
6,1672432367668.2349,422.994282,6885.082811
7,1672432352634.0928,520.049066,5618.898544
8,1672432337608.1074,292.56088,6410.395834
9,1672432322581.8018,610.488835,5166.642645
10,1672432307546.3855,629.305541,5750.471578
11,1672432292511.1973,650.004467,5846.762019
12,1672432277483.6865,372.406167,6035.461937
13,1672432262449.3613,371.650574,5613.654972
14,1672432247415.9395,447.732859,5880.705521
15,1672432232383.4556,223.298148,5370.3418
