,time,avg,replicas,for pod
0,1672162839323.7695,31.816,1,[31.816]
1,1672162854493.0754,62.7,2,"[29.416, 33.284]"
2,1672162869663.7139,66.124,2,"[29.8, 36.324]"
3,1672162884837.6428,66.668,2,"[30.004, 36.664]"
4,1672162900010.139,67.944,2,"[30.66, 37.284]"
5,1672162915205.448,99.08,3,"[31.848, 29.948, 37.284]"
6,1672162930377.1345,102.91999999999999,3,"[35.172, 29.564, 38.184]"
7,1672162945544.9707,104.5,3,"[36.788, 30.092, 37.62]"
8,1672162960754.6023,30.296,1,[30.296]
9,1672162975926.2375,32.104,1,[32.104]
10,1672162991104.5205,30.848,1,[30.848]
11,1672163006302.2297,58.864,2,"[28.816, 30.048]"
12,1672163021471.7607,66.844,2,"[37.056, 29.788]"
13,1672163036639.823,67.712,2,"[37.328, 30.384]"
14,1672163051804.6338,94.39599999999999,3,"[37.312, 30.656, 26.428]"
