,time,master,worker
0,1672302563557.1392,6149.072,11306.948
1,1672302548533.1494,6147.388,11502.392
2,1672302533499.015,6145.48,11348.464
3,1672302518464.8738,6158.492,11530.324
4,1672302503430.5413,6153.472,11409.392
5,1672302488396.427,6151.384,11539.28
6,1672302473361.7283,6148.304,11418.916
7,1672302458328.5222,6152.164,11561.444
8,1672302443294.6553,6153.208,11418.308
9,1672302428260.5796,6152.992,11567.276
10,1672302413226.1353,6149.188,11434.22
11,1672302398192.2334,6153.612,11541.312
12,1672302383157.3337,6139.316,11383.932
13,1672302368122.5469,6114.696,11532.14
14,1672302353088.49,6113.852,11456.088
15,1672302338054.3997,6182.012,11572.328
