,time,avg,replicas,for pod
0,1672821448534.3384,159.26000000000002,6,"[25.28, 27.144, 27.356, 23.444, 26.332, 29.704]"
1,1672821463687.147,88.988,3,"[29.22, 28.46, 31.308]"
2,1672821478962.2458,90.524,3,"[29.164, 29.284, 32.076]"
3,1672821494188.6777,31.628,1,[31.628]
4,1672821509350.944,31.748,1,[31.748]
5,1672821524547.0151,64.168,2,"[34.208, 29.96]"
6,1672821539712.8953,31.696,1,[31.696]
7,1672821554882.523,32.316,1,[32.316]
8,1672821570038.9883,31.984,1,[31.984]
9,1672821585200.8967,66.456,2,"[30.5, 35.956]"
10,1672821600365.087,66.75999999999999,2,"[30.204, 36.556]"
11,1672821615529.25,68.8,2,"[31.244, 37.556]"
12,1672821630696.0723,67.892,2,"[30.336, 37.556]"
13,1672821645846.3228,68.196,2,"[30.012, 38.184]"
14,1672821661013.7078,69.66,2,"[31.476, 38.184]"
