,time,master,worker
0,1672822394401.6763,207.633727,4808.946921
1,1672822379367.8047,205.726366,6092.031873
2,1672822364332.6194,390.045295,4847.512241
3,1672822349298.268,191.052924,5909.380725
4,1672822334277.0754,210.153223,5416.691255
5,1672822319243.0698,217.033277,5900.986627
6,1672822304207.7446,246.406758,5467.937906
7,1672822289173.3757,271.742569,6222.551017
8,1672822274138.4414,177.361228,5319.716869
9,1672822259110.2268,165.019246,6067.268187
10,1672822244074.8113,186.939995,5243.21444
11,1672822229041.0164,174.91607,6157.697234
12,1672822214006.585,202.182965,5581.350601
13,1672822198977.16,207.101842,5997.998057
14,1672822183947.5015,611.208007,5606.341972
15,1672822168912.8354,167.074283,5729.231015
