,time,master,worker
0,1672823114653.5696,6388.824,11483.172
1,1672823099633.6326,6321.608,11247.088
2,1672823084608.0105,6307.524,11407.696
3,1672823069584.3289,6278.512,11206.416
4,1672823054548.9846,6408.016,11454.036
5,1672823039523.1035,6358.24,11273.348
6,1672823024487.1404,6328.956,11442.464
7,1672823009461.792,6275.676,11312.392
8,1672822994433.7617,6375.796,11493.012
9,1672822979398.992,6331.428,11347.56
10,1672822964363.7803,6327.76,11440.764
11,1672822949332.054,6301.88,10989.652
12,1672822934297.7188,6405.668,11503.808
13,1672822919271.4001,6354.964,11197.096
14,1672822904237.264,6333.3,11456.6
15,1672822889201.8872,6223.024,11156.14
