,time,avg,replicas,for pod
0,1672823129664.9385,229.83074100000005,9,"[31.726637, 16.437448, 12.671684, 19.080396, 20.558453, 47.119489, 27.599665, 14.129747, 40.507222]"
1,1672823144844.608,0.0,0,[]
2,1672823160042.127,49.48777,1,[49.48777]
3,1672823175233.8162,50.859407,1,[50.859407]
4,1672823190424.3647,178.888688,5,"[47.366432, 36.733905, 19.798797, 48.441638, 26.547916]"
5,1672823205645.1096,256.924273,9,"[47.366432, 44.650892, 22.520992, 16.970601, 16.506977, 19.055619, 35.941485, 13.755077, 40.156198]"
6,1672823220927.4067,396.762947,14,"[25.444294, 44.650892, 16.385288, 48.212787, 16.479195, 22.55875, 38.322474, 14.229371, 7.851519, 34.233286, 38.702202, 14.672902, 48.035782, 26.984205]"
7,1672823236120.4143,47.99975,1,[47.99975]
8,1672823251314.6062,96.52221499999999,2,"[46.58837, 49.933845]"
9,1672823266513.562,216.47636699999998,5,"[39.460037, 39.243718, 40.961573, 48.899908, 47.911131]"
10,1672823281803.944,194.825725,7,"[11.583482, 47.813363, 9.846574, 12.061264, 41.892237, 45.114766, 26.514039]"
11,1672823297001.914,47.993023,1,[47.993023]
12,1672823312239.4417,95.53421399999999,2,"[45.481106, 50.053108]"
13,1672823327438.4932,171.96264299999999,5,"[16.40502, 36.1646, 49.385895, 49.014775, 20.992353]"
14,1672823342657.1611,153.984671,4,"[47.286476, 43.971849, 22.353712, 40.372634]"
