,time,master,worker
0,1672574916787.5813,6115.388,11493.216
1,1672574901752.0964,6115.988,11032.932
2,1672574886716.4873,6111.396,11463.388
3,1672574871685.9219,6112.364,11117.264
4,1672574856650.9285,6112.26,11503.268
5,1672574841616.9517,6112.712,11124.172
6,1672574826589.8818,6109.568,11525.576
7,1672574811568.3179,6110.404,11126.3
8,1672574796544.0356,6110.144,11498.176
9,1672574781517.0747,6109.28,11073.932
10,1672574766481.9165,6107.404,11484.3
11,1672574751449.753,6082.036,11069.6
12,1672574736409.5898,6105.248,11454.916
13,1672574721388.8682,6111.58,10888.988
14,1672574706360.5203,6038.276,11452.276
15,1672574691333.0881,6040.8,10888.232
