,time,master,worker
0,1672639276958.056,226.9755,5505.393367
1,1672639261929.7114,234.773738,6259.981144
2,1672639246894.8538,153.660051,4966.485075
3,1672639231858.9648,160.290341,6026.603956
4,1672639216824.3792,221.672457,5150.144367
5,1672639201789.4941,165.082947,6286.915624
6,1672639186767.9172,191.909537,4968.720226
7,1672639171733.8333,221.865779,6162.32176
8,1672639156703.1733,249.874576,5012.962677
9,1672639141680.7551,215.883165,5975.928864
10,1672639126645.9023,295.612972,5129.611607
11,1672639111611.7776,156.166069,6050.793941
12,1672639096577.8042,227.82661,5292.394078
13,1672639081554.98,209.994048,6125.246206
14,1672639066523.7173,750.001237,4951.519499
15,1672639051489.1396,146.34353,6193.021852
