,time,avg,replicas,for pod
0,1672650098270.7832,5.127458,1,[5.127458]
1,1672650113426.8582,19.523167,1,[19.523167]
2,1672650128591.4546,49.830062,1,[49.830062]
3,1672650143757.204,50.405114,1,[50.405114]
4,1672650158913.5483,90.269274,2,"[48.10563, 42.163644]"
5,1672650174081.2463,11.667134,1,[11.667134]
6,1672650189252.6912,38.583316,1,[38.583316]
7,1672650204420.956,50.082372,1,[50.082372]
8,1672650219587.0571,93.27926199999999,2,"[48.164716, 45.114546]"
9,1672650234748.3535,68.901894,2,"[49.86426, 19.037634]"
10,1672650249953.1484,121.08850299999999,3,"[49.464232, 49.058319, 22.565952]"
11,1672650265121.602,101.99352900000001,4,"[13.940767, 43.03692, 31.408687, 13.607155]"
12,1672650280291.7803,128.23209400000002,4,"[18.728344, 41.491719, 49.221364, 18.790667]"
13,1672650295458.5432,14.760553,1,[14.760553]
14,1672650310623.5186,46.990507,1,[46.990507]
