,time,avg,replicas,for pod
0,1672516335394.9302,67.932,2,"[29.332, 38.6]"
1,1672516350561.5457,68.232,2,"[29.128, 39.104]"
2,1672516365721.8052,98.37200000000001,3,"[29.968, 40.188, 28.216]"
3,1672516380883.2485,127.648,4,"[29.348, 30.184, 39.316, 28.8]"
4,1672516396089.1445,38.128,1,[38.128]
5,1672516411245.225,38.508,1,[38.508]
6,1672516426410.0293,69.04,2,"[29.7, 39.34]"
7,1672516441603.3174,68.004,2,"[28.76, 39.244]"
8,1672516456783.1096,68.108,2,"[29.312, 38.796]"
9,1672516471948.3943,125.728,4,"[28.772, 28.516, 30.148, 38.292]"
10,1672516487115.3508,37.78,1,[37.78]
11,1672516502312.8142,39.008,1,[39.008]
12,1672516517482.274,68.636,2,"[29.628, 39.008]"
13,1672516532645.9282,101.23599999999999,3,"[29.74, 32.208, 39.288]"
14,1672516547818.2317,103.24000000000001,3,"[28.512, 36.24, 38.488]"
