,time,master,worker
0,1672484887370.4846,6240.66,11549.94
1,1672484872346.0762,6234.06,11368.228
2,1672484857311.1748,6208.476,11448.776
3,1672484842276.611,6208.976,10801.492
4,1672484827254.2166,6235.192,11523.68
5,1672484812220.847,6237.012,10984.976
6,1672484797199.3457,6206.488,11447.904
7,1672484782167.853,6210.712,10761.12
8,1672484767140.2444,6299.808,11523.1
9,1672484752108.0505,6289.588,11014.252
10,1672484737073.6218,6239.164,11513.212
11,1672484722037.3618,6240.384,11044.264
12,1672484707013.802,6203.404,11465.708
13,1672484691978.9607,6208.8,10933.964
14,1672484676943.889,6350.02,11607.852
15,1672484661907.1853,6217.428,11300.48
