,time,avg,replicas,for pod
0,1672481059451.8052,40.347547,1,[40.347547]
1,1672481074688.8372,47.029152,1,[47.029152]
2,1672481089932.4048,115.07003800000001,3,"[50.012123, 32.086805, 32.97111]"
3,1672481105159.3032,47.922281,1,[47.922281]
4,1672481120402.5076,41.453077,1,[41.453077]
5,1672481135636.6565,140.370827,4,"[33.930838, 30.719991, 49.80527, 25.914728]"
6,1672481150884.1501,191.857636,6,"[35.144733, 17.890487, 14.565382, 49.80527, 45.923738, 28.528026]"
7,1672481166155.5378,39.754094,1,[39.754094]
8,1672481181376.502,40.522255,1,[40.522255]
9,1672481196602.2798,164.828518,4,"[37.546908, 44.241137, 50.462112, 32.578361]"
10,1672481211827.8435,41.673717,1,[41.673717]
11,1672481227091.1218,41.673717,1,[41.673717]
12,1672481242317.8499,166.48515600000002,4,"[48.372721, 38.935239, 44.30994, 34.867256]"
13,1672481257557.717,37.453664,1,[37.453664]
14,1672481272783.0654,50.479331,1,[50.479331]
