,time,master,worker
0,1672481524901.8125,543.548975,5996.468738
1,1672481509866.6772,355.761686,5317.233648
2,1672481494837.6128,345.392646,5556.236644
3,1672481479805.5542,355.385325,6182.522081
4,1672481464772.8137,518.063386,5595.218743
5,1672481449737.4395,343.431911,6035.032686
6,1672481434696.9558,476.129659,5633.041407
7,1672481419662.0178,412.002741,5701.258509
8,1672481404634.0967,375.763734,6218.685426
9,1672481389607.5835,334.209951,5565.75527
10,1672481374585.6492,411.079966,6800.149353
11,1672481359551.0063,340.022593,5732.606453
12,1672481344519.15,334.423525,6484.756567
13,1672481329493.016,468.56054,5574.362076
14,1672481314457.5203,683.020636,6696.303372
15,1672481299425.5728,352.624184,5653.021164
