,time,avg,replicas,for pod
0,1672482500552.1118,63.827999999999996,2,"[29.516, 34.312]"
1,1672482515816.331,31.532,1,[31.532]
2,1672482531025.0974,29.184,1,[29.184]
3,1672482546326.1477,142.228,5,"[29.212, 28.612, 31.98, 25.924, 26.5]"
4,1672482561567.652,188.52800000000002,6,"[27.44, 29.344, 28.524, 35.112, 34.68, 33.428]"
5,1672482576849.461,125.44399999999999,4,"[30.0, 30.508, 28.592, 36.344]"
6,1672482592096.1057,30.172,1,[30.172]
7,1672482607394.642,56.104,2,"[30.976, 25.128]"
8,1672482622668.2595,164.98000000000002,6,"[27.716, 30.652, 29.08, 25.2, 23.464, 28.868]"
9,1672482637961.4272,297.77599999999995,10,"[32.292, 30.064, 27.5, 28.28, 29.876, 33.28, 25.724, 28.796, 27.744, 34.22]"
10,1672482653220.866,63.891999999999996,2,"[34.692, 29.2]"
11,1672482668441.6814,32.008,1,[32.008]
12,1672482683684.8606,61.176,2,"[28.684, 32.492]"
13,1672482698936.526,176.45999999999998,6,"[30.864, 29.272, 30.54, 27.552, 25.5, 32.732]"
14,1672482714162.3816,29.448,1,[29.448]
