,time,avg,replicas,for pod
0,1671740321032.7185,66.29599999999999,2,"[36.088, 30.208]"
1,1671740336198.761,30.684,1,[30.684]
2,1671740351368.067,32.872,1,[32.872]
3,1671740366559.2305,32.116,1,[32.116]
4,1671740381722.148,98.064,3,"[32.54, 34.476, 31.048]"
5,1671740396899.7747,101.91199999999999,3,"[34.992, 36.464, 30.456]"
6,1671740412066.8474,31.236,1,[31.236]
7,1671740427257.4143,31.3,1,[31.3]
8,1671740442437.4983,33.124,1,[33.124]
9,1671740457604.7754,92.76400000000001,3,"[34.392, 26.772, 31.6]"
10,1671740472784.1636,129.092,4,"[36.244, 27.728, 35.048, 30.072]"
11,1671740487951.5237,164.21599999999998,5,"[31.608, 35.728, 28.912, 36.544, 31.424]"
12,1671740503108.8816,166.34799999999998,5,"[36.06, 36.096, 28.32, 36.028, 29.844]"
13,1671740518271.4807,32.996,1,[32.996]
14,1671740533436.8987,32.936,1,[32.936]
