,time,master,worker
0,1671868303641.9846,6168.664,11653.74
1,1671868288608.1208,6163.964,11407.4
2,1671868273573.7502,6167.7,11675.904
3,1671868258539.1804,6169.548,11388.488
4,1671868243505.3196,6166.48,11711.284
5,1671868228470.1418,6162.304,11398.516
6,1671868213434.7473,6161.844,11576.472
7,1671868198405.0984,6155.168,11466.808
8,1671868183385.1807,6156.64,11624.8
9,1671868168350.0098,6164.008,11467.416
10,1671868153325.388,6165.956,11596.168
11,1671868138300.333,6170.772,11500.976
12,1671868123266.296,6170.496,11641.58
13,1671868108231.9524,6167.076,11229.0
14,1671868093209.9333,6166.752,11652.196
15,1671868078180.24,6091.64,11514.828
