,time,master,worker
0,1671876228868.0088,214.788906,5948.185184
1,1671876213847.3477,187.908499,5644.3513
2,1671876198813.3604,192.671777,5711.315296
3,1671876183784.1484,125.217316,5669.513514
4,1671876168755.7866,299.544134,5490.948196
5,1671876153721.608,521.24771,5710.819205
6,1671876138689.653,289.049813,6061.013288
7,1671876123653.9553,265.830557,5785.605409
8,1671876108628.7258,310.794255,5792.678437
9,1671876093601.9138,474.966544,5743.885136
10,1671876078568.2402,340.209705,5879.564754
11,1671876063537.7473,314.370563,6730.006966
12,1671876048502.5413,288.931766,5467.416408
13,1671876033474.7373,229.965836,6621.923694
14,1671876018434.0896,496.412833,5558.665708
15,1671876003400.4385,133.404059,6361.766374
