,time,avg,replicas,for pod
0,1671897136714.8628,67.62012100000001,2,"[49.763862, 17.856259]"
1,1671897151892.9607,79.432404,2,"[49.741435, 29.690969]"
2,1671897167088.057,77.828517,2,"[50.135889, 27.692628]"
3,1671897182257.3787,109.466458,3,"[46.549754, 49.397089, 13.519615]"
4,1671897197438.8472,96.36289699999999,3,"[38.974498, 45.606366, 11.782033]"
5,1671897212624.0667,100.73954599999999,3,"[45.014763, 34.712757, 21.012026]"
6,1671897227807.2368,151.68144,4,"[49.320058, 44.800141, 38.886945, 18.674296]"
7,1671897242984.0286,43.944101,1,[43.944101]
8,1671897258244.7556,40.910328,1,[40.910328]
9,1671897273409.454,82.52450200000001,2,"[50.051644, 32.472858]"
10,1671897288592.1738,73.557336,2,"[50.03766, 23.519676]"
11,1671897303768.8926,73.441237,2,"[50.076519, 23.364718]"
12,1671897318944.73,68.853807,2,"[49.375158, 19.478649]"
13,1671897334116.7754,115.05161900000002,3,"[49.7203, 48.198227, 17.133092]"
14,1671897349292.2546,97.259688,3,"[31.91474, 40.799535, 24.545413]"
