,time,avg,replicas,for pod
0,1672488460104.7368,67.288,2,"[36.352, 30.936]"
1,1672488475266.6248,68.824,2,"[37.748, 31.076]"
2,1672488490427.9846,67.30000000000001,2,"[36.892, 30.408]"
3,1672488505594.2424,101.13199999999999,3,"[33.684, 36.416, 31.032]"
4,1672488520759.4363,102.604,3,"[35.316, 36.88, 30.408]"
5,1672488535922.314,105.01200000000001,3,"[37.148, 37.408, 30.456]"
6,1672488551106.132,31.064,1,[31.064]
7,1672488566266.1008,32.492,1,[32.492]
8,1672488581432.991,33.244,1,[33.244]
9,1672488596593.475,32.164,1,[32.164]
10,1672488611756.8923,56.052,2,"[25.004, 31.048]"
11,1672488626929.6877,66.94800000000001,2,"[35.804, 31.144]"
12,1672488642091.4875,68.23599999999999,2,"[37.724, 30.512]"
13,1672488657255.0518,68.908,2,"[38.0, 30.908]"
14,1672488672418.612,100.288,3,"[32.128, 37.128, 31.032]"
