,time,master,worker
0,1672486044001.1934,210.010006,5311.089587
1,1672486028980.048,299.591259,6444.957919
2,1672486013958.399,182.842183,5153.721745
3,1672485998938.6475,305.233311,6148.553587
4,1672485983918.8599,179.267889,5130.175041
5,1672485968885.2634,178.034176,6038.60032
6,1672485953850.76,176.650267,5379.402466
7,1672485938817.5176,217.808738,5944.390279
8,1672485923783.7246,164.706275,5206.787263
9,1672485908761.4646,219.001929,5867.018167
10,1672485893729.813,253.178736,5067.651972
11,1672485878701.6108,331.898279,6093.994971
12,1672485863666.7017,223.769335,4966.838186
13,1672485848641.3176,415.284585,6222.618041
14,1672485833621.0469,244.067732,5185.561847
15,1672485818590.5022,161.088038,6168.038939
