,time,avg,replicas,for pod
0,1673454947285.3882,49.918932,1,[49.918932]
1,1673454962450.159,50.36399,1,[50.36399]
2,1673454977648.4492,69.01661,2,"[49.064355, 19.952255]"
3,1673454992810.0369,70.040671,2,"[50.344555, 19.696116]"
4,1673455007960.767,109.482299,3,"[49.908191, 14.492887, 45.081221]"
5,1673455023144.648,109.51006999999998,3,"[42.72841, 22.903956, 43.877704]"
6,1673455038315.0205,98.991423,3,"[38.356552, 10.977928, 49.656943]"
7,1673455053484.6353,141.15172,5,"[27.309823, 31.409495, 21.993586, 41.500193, 18.938623]"
8,1673455068669.3123,31.680658,1,[31.680658]
9,1673455083823.824,47.695455,1,[47.695455]
10,1673455098988.1365,49.554921,1,[49.554921]
11,1673455114154.0347,49.73926,1,[49.73926]
12,1673455129323.6152,74.658155,2,"[24.647618, 50.010537]"
13,1673455144490.6206,69.488394,2,"[19.717915, 49.770479]"
14,1673455159640.6167,144.549325,4,"[21.410016, 50.224984, 48.675113, 24.239212]"
