,time,master,worker
0,1673453491575.4575,229.314867,6574.247761
1,1673453476554.816,423.97329,5332.319526
2,1673453461533.71,213.500879,6665.894094
3,1673453446514.6543,243.614114,5205.130683
4,1673453431495.5237,246.652371,6628.103343
5,1673453416474.1326,190.29998,5436.993667
6,1673453401439.477,204.500411,6490.7592
7,1673453386405.782,244.731217,5459.197953
8,1673453371384.606,143.974904,6309.199892
9,1673453356353.386,189.214435,5385.419775
10,1673453341318.9001,193.905801,6273.493717
11,1673453326291.9805,173.253218,4883.625606
12,1673453311263.9517,256.732233,6296.708102
13,1673453296244.1172,467.730319,4811.431327
14,1673453281222.9824,643.81032,6174.068535
15,1673453266194.4722,199.666832,4791.720266
