,time,avg,replicas,for pod
0,1673453746579.148,67.128,2,"[29.616, 37.512]"
1,1673453761751.3718,92.67599999999999,3,"[25.944, 29.948, 36.784]"
2,1673453776907.1665,103.4,3,"[36.22, 29.944, 37.236]"
3,1673453792056.4348,104.904,3,"[36.708, 30.56, 37.636]"
4,1673453807218.1653,160.208,5,"[28.06, 27.888, 36.708, 29.916, 37.636]"
5,1673453822364.7358,37.504,1,[37.504]
6,1673453837501.643,37.504,1,[37.504]
7,1673453852657.4792,37.7,1,[37.7]
8,1673453867827.5784,66.076,2,"[38.292, 27.784]"
9,1673453882974.664,67.36,2,"[37.492, 29.868]"
10,1673453898132.5884,94.792,3,"[37.376, 28.512, 28.904]"
11,1673453913310.1345,100.708,3,"[38.268, 28.808, 33.632]"
12,1673453928468.549,100.03200000000001,3,"[36.368, 28.656, 35.008]"
13,1673453943631.8052,133.328,4,"[37.348, 29.336, 28.912, 37.732]"
14,1673453958775.5583,37.244,1,[37.244]
