,time,master,worker
0,1672491828411.3704,6161.484,11202.06
1,1672491813377.1736,6162.864,11401.048
2,1672491798342.0493,6163.596,11185.048
3,1672491783316.4934,6161.924,11384.496
4,1672491768282.9656,6161.988,11185.556
5,1672491753259.737,6160.864,11398.348
6,1672491738226.73,6161.608,11228.464
7,1672491723205.7715,6159.644,11392.512
8,1672491708181.264,6161.348,11217.048
9,1672491693156.2947,6158.856,11395.164
10,1672491678134.7422,6159.288,10718.572
11,1672491663101.1123,6157.544,11419.556
12,1672491648066.7556,6156.5,11500.836
13,1672491633027.9482,6156.384,11401.116
14,1672491618007.2522,6155.044,11528.872
15,1672491602979.481,6087.328,11383.464
