,time,master,worker
0,1673517006699.1497,6031.932,11492.92
1,1673516991673.734,6033.992,11079.016
2,1673516976638.5176,6032.724,11391.396
3,1673516961617.513,6025.668,10916.496
4,1673516946584.2693,6027.46,11323.84
5,1673516931549.2844,6026.48,10791.116
6,1673516916514.7234,6029.22,11320.808
7,1673516901480.5554,6028.712,10794.704
8,1673516886446.6453,6029.52,11297.552
9,1673516871412.7676,6027.708,10795.992
10,1673516856378.1821,6027.196,11312.908
11,1673516841353.0652,6025.892,10795.22
12,1673516826328.75,6024.696,11302.624
13,1673516811306.1418,6028.02,11436.52
14,1673516796271.6885,6027.248,11309.228
15,1673516781237.6907,6026.216,11437.86
