,time,avg,replicas,for pod
0,1671469799889.5232,0.378764,1,[0.378764]
1,1671469815033.159,0.393131,1,[0.393131]
2,1671469830186.3135,0.376502,1,[0.376502]
3,1671469845328.8943,0.430208,1,[0.430208]
4,1671469860479.5532,0.852263,1,[0.852263]
5,1671469875632.9336,0.419843,1,[0.419843]
6,1671469890784.205,0.419581,1,[0.419581]
7,1671469905935.1055,0.423878,1,[0.423878]
8,1671469921090.8425,0.345334,1,[0.345334]
9,1671469936245.8982,44.930143,1,[44.930143]
10,1671469951398.8428,51.053372,1,[51.053372]
11,1671469966539.4294,36.572307,1,[36.572307]
12,1671469981695.1199,72.402286,2,"[23.291265, 49.111021]"
13,1671469996841.1846,64.44251799999999,2,"[14.858561, 49.583957]"
14,1671470011996.098,70.589774,2,"[20.826835, 49.762939]"
15,1671470027170.9546,73.224185,2,"[23.608677, 49.615508]"
16,1671470042323.6736,67.937059,2,"[18.264261, 49.672798]"
17,1671470057463.974,70.752728,2,"[20.514774, 50.237954]"
18,1671470072601.9055,70.694988,2,"[20.850563, 49.844425]"
19,1671470087749.0127,77.210632,2,"[27.558349, 49.652283]"
20,1671470102897.0156,66.21764,2,"[16.660232, 49.557408]"
21,1671470118047.117,66.283154,2,"[16.438212, 49.844942]"
22,1671470133209.1204,68.964742,2,"[18.767754, 50.196988]"
23,1671470148381.1794,67.164442,2,"[17.115044, 50.049398]"
24,1671470163528.0134,61.660579999999996,2,"[11.611182, 50.049398]"
25,1671470178675.266,77.375955,2,"[27.311558, 50.064397]"
26,1671470193826.8254,77.986542,2,"[28.265786, 49.720756]"
27,1671470208978.6008,73.55953099999999,2,"[23.183661, 50.37587]"
28,1671470224126.8237,72.264816,2,"[22.661194, 49.603622]"
29,1671470239272.8738,79.449429,2,"[30.523172, 48.926257]"
30,1671470254408.8801,64.863476,2,"[15.937219, 48.926257]"
31,1671470269563.427,60.988338,2,"[11.380034, 49.608304]"
32,1671470284715.6272,73.135951,2,"[23.151536, 49.984415]"
33,1671470299869.6553,65.272779,2,"[14.999102, 50.273677]"
34,1671470315031.015,70.099211,2,"[19.985045, 50.114166]"
35,1671470330175.8374,75.310095,2,"[25.171818, 50.138277]"
36,1671470345319.3984,74.807197,2,"[25.39914, 49.408057]"
37,1671470360473.5544,68.097911,2,"[18.331675, 49.766236]"
38,1671470375624.794,70.738407,2,"[20.619898, 50.118509]"
39,1671470390778.5154,67.44570200000001,2,"[17.313096, 50.132606]"
40,1671470405930.1472,74.937792,2,"[25.538255, 49.399537]"
41,1671470421083.4692,63.582440000000005,2,"[14.182903, 49.399537]"
42,1671470436229.5237,65.672689,2,"[15.7017, 49.970989]"
43,1671470451381.5845,64.92739,2,"[15.182363, 49.745027]"
44,1671470466532.8596,66.034491,2,"[16.287805, 49.746686]"
45,1671470481688.9868,69.105169,2,"[20.068193, 49.036976]"
46,1671470496848.3633,76.279055,2,"[26.700364, 49.578691]"
47,1671470512001.9219,83.58888300000001,2,"[33.506765, 50.082118]"
48,1671470527156.7908,63.660726,2,"[13.701127, 49.959599]"
49,1671470542314.9058,65.50476400000001,2,"[15.386224, 50.11854]"
50,1671470557461.8816,64.292114,2,"[14.273123, 50.018991]"
51,1671470572602.1953,71.33776,2,"[21.383527, 49.954233]"
52,1671470587763.6797,68.249485,2,"[18.684363, 49.565122]"
53,1671470602919.0732,62.739914,2,"[12.335218, 50.404696]"
54,1671470618067.908,67.834986,2,"[18.089051, 49.745935]"
55,1671470633225.4675,70.217088,2,"[20.603888, 49.6132]"
56,1671470648382.1572,67.707914,2,"[17.006547, 50.701367]"
57,1671470663528.2102,24.756485,2,"[3.807181, 20.949304]"
58,1671470678669.8005,22.369184,2,"[1.41988, 20.949304]"
59,1671470693811.4312,1.0992220000000001,2,"[0.42728, 0.671942]"
60,1671470708964.3533,1.073275,2,"[0.401333, 0.671942]"
61,1671470724126.2522,1.138163,2,"[0.401467, 0.736696]"
62,1671470739291.2727,1.0995059999999999,2,"[0.413216, 0.68629]"
63,1671470754431.9438,1.093717,2,"[0.413851, 0.679866]"
64,1671470769582.121,1.135237,2,"[0.357401, 0.777836]"
65,1671470784737.2585,2.7077410000000004,2,"[0.439452, 2.268289]"
66,1671470799893.5596,2.964395,2,"[2.163195, 0.8012]"
67,1671470815032.03,1.123337,2,"[0.435478, 0.687859]"
68,1671470830171.3123,1.171548,2,"[0.430239, 0.741309]"
69,1671470845326.7744,1.07226,2,"[0.453047, 0.619213]"
70,1671470860481.5544,1.197497,2,"[0.420442, 0.777055]"
71,1671470875633.6377,1.106607,2,"[0.446164, 0.660443]"
72,1671470890793.085,1.1612,2,"[0.358983, 0.802217]"
73,1671470905951.2622,2.174845,2,"[0.449634, 1.725211]"
74,1671470921100.816,1.1304020000000001,2,"[0.425496, 0.704906]"
75,1671470936261.8774,1.555923,2,"[0.784346, 0.771577]"
76,1671470951401.9895,0.362248,1,[0.362248]
77,1671470966546.1133,0.383676,1,[0.383676]
78,1671470981685.5217,0.399049,1,[0.399049]
79,1671470996842.1267,0.41681,1,[0.41681]
