,time,avg,replicas,for pod
0,1671469799889.5232,26.772,1,[26.772]
1,1671469815033.159,26.944,1,[26.944]
2,1671469830186.3135,26.824,1,[26.824]
3,1671469845328.8943,26.88,1,[26.88]
4,1671469860479.5532,27.08,1,[27.08]
5,1671469875632.9336,26.788,1,[26.788]
6,1671469890784.205,26.788,1,[26.788]
7,1671469905935.1055,26.788,1,[26.788]
8,1671469921090.8425,26.788,1,[26.788]
9,1671469936245.8982,31.812,1,[31.812]
10,1671469951398.8428,31.124,1,[31.124]
11,1671469966539.4294,29.44,1,[29.44]
12,1671469981695.1199,66.276,2,"[30.304, 35.972]"
13,1671469996841.1846,66.388,2,"[29.636, 36.752]"
14,1671470011996.098,67.248,2,"[30.352, 36.896]"
15,1671470027170.9546,67.62,2,"[29.368, 38.252]"
16,1671470042323.6736,68.128,2,"[29.84, 38.288]"
17,1671470057463.974,67.876,2,"[29.632, 38.244]"
18,1671470072601.9055,67.592,2,"[29.48, 38.112]"
19,1671470087749.0127,67.916,2,"[29.82, 38.096]"
20,1671470102897.0156,68.396,2,"[29.76, 38.636]"
21,1671470118047.117,68.75200000000001,2,"[30.128, 38.624]"
22,1671470133209.1204,68.068,2,"[29.324, 38.744]"
23,1671470148381.1794,67.568,2,"[29.232, 38.336]"
24,1671470163528.0134,67.724,2,"[29.388, 38.336]"
25,1671470178675.266,69.904,2,"[30.976, 38.928]"
26,1671470193826.8254,68.152,2,"[29.936, 38.216]"
27,1671470208978.6008,69.816,2,"[30.576, 39.24]"
28,1671470224126.8237,69.536,2,"[30.484, 39.052]"
29,1671470239272.8738,68.616,2,"[29.82, 38.796]"
30,1671470254408.8801,68.224,2,"[29.428, 38.796]"
31,1671470269563.427,68.42,2,"[29.772, 38.648]"
32,1671470284715.6272,68.71600000000001,2,"[29.832, 38.884]"
33,1671470299869.6553,68.136,2,"[29.592, 38.544]"
34,1671470315031.015,68.804,2,"[29.928, 38.876]"
35,1671470330175.8374,70.312,2,"[30.504, 39.808]"
36,1671470345319.3984,69.316,2,"[30.112, 39.204]"
37,1671470360473.5544,67.824,2,"[29.276, 38.548]"
38,1671470375624.794,68.86,2,"[30.44, 38.42]"
39,1671470390778.5154,69.28399999999999,2,"[29.72, 39.564]"
40,1671470405930.1472,70.324,2,"[30.944, 39.38]"
41,1671470421083.4692,69.136,2,"[29.756, 39.38]"
42,1671470436229.5237,69.408,2,"[30.092, 39.316]"
43,1671470451381.5845,69.69999999999999,2,"[29.784, 39.916]"
44,1671470466532.8596,69.03200000000001,2,"[29.64, 39.392]"
45,1671470481688.9868,67.9,2,"[29.576, 38.324]"
46,1671470496848.3633,69.66,2,"[30.44, 39.22]"
47,1671470512001.9219,68.92,2,"[30.512, 38.408]"
48,1671470527156.7908,69.12,2,"[30.424, 38.696]"
49,1671470542314.9058,68.744,2,"[29.928, 38.816]"
50,1671470557461.8816,68.048,2,"[29.336, 38.712]"
51,1671470572602.1953,69.368,2,"[30.204, 39.164]"
52,1671470587763.6797,69.17999999999999,2,"[29.624, 39.556]"
53,1671470602919.0732,69.424,2,"[29.532, 39.892]"
54,1671470618067.908,68.92,2,"[29.968, 38.952]"
55,1671470633225.4675,69.444,2,"[30.04, 39.404]"
56,1671470648382.1572,68.132,2,"[29.704, 38.428]"
57,1671470663528.2102,67.75200000000001,2,"[29.924, 37.828]"
58,1671470678669.8005,67.36,2,"[29.532, 37.828]"
59,1671470693811.4312,67.128,2,"[29.3, 37.828]"
60,1671470708964.3533,67.128,2,"[29.3, 37.828]"
61,1671470724126.2522,67.148,2,"[29.3, 37.848]"
62,1671470739291.2727,67.152,2,"[29.3, 37.852]"
63,1671470754431.9438,67.292,2,"[29.428, 37.864]"
64,1671470769582.121,67.332,2,"[29.332, 38.0]"
65,1671470784737.2585,66.432,2,"[29.34, 37.092]"
66,1671470799893.5596,65.124,2,"[28.008, 37.116]"
67,1671470815032.03,65.124,2,"[28.008, 37.116]"
68,1671470830171.3123,65.164,2,"[28.04, 37.124]"
69,1671470845326.7744,65.168,2,"[28.04, 37.128]"
70,1671470860481.5544,65.176,2,"[28.04, 37.136]"
71,1671470875633.6377,65.176,2,"[28.04, 37.136]"
72,1671470890793.085,65.18,2,"[28.04, 37.14]"
73,1671470905951.2622,64.9,2,"[28.12, 36.78]"
74,1671470921100.816,64.924,2,"[28.12, 36.804]"
75,1671470936261.8774,64.844,2,"[28.04, 36.804]"
76,1671470951401.9895,28.04,1,[28.04]
77,1671470966546.1133,28.04,1,[28.04]
78,1671470981685.5217,28.04,1,[28.04]
79,1671470996842.1267,28.056,1,[28.056]
