,time,observed
0,1671469799889.5232,1
1,1671469815033.159,1
2,1671469830186.3135,1
3,1671469845328.8943,1
4,1671469860479.5532,1
5,1671469875632.9336,1
6,1671469890784.205,1
7,1671469905935.1055,1
8,1671469921090.8425,1
9,1671469936245.8982,1
10,1671469951398.8428,1
11,1671469966539.4294,2
12,1671469981695.1199,2
13,1671469996841.1846,2
14,1671470011996.098,2
15,1671470027170.9546,2
16,1671470042323.6736,2
17,1671470057463.974,2
18,1671470072601.9055,2
19,1671470087749.0127,2
20,1671470102897.0156,2
21,1671470118047.117,2
22,1671470133209.1204,2
23,1671470148381.1794,2
24,1671470163528.0134,2
25,1671470178675.266,2
26,1671470193826.8254,2
27,1671470208978.6008,2
28,1671470224126.8237,2
29,1671470239272.8738,2
30,1671470254408.8801,2
31,1671470269563.427,2
32,1671470284715.6272,2
33,1671470299869.6553,2
34,1671470315031.015,2
35,1671470330175.8374,2
36,1671470345319.3984,2
37,1671470360473.5544,2
38,1671470375624.794,2
39,1671470390778.5154,2
40,1671470405930.1472,2
41,1671470421083.4692,2
42,1671470436229.5237,2
43,1671470451381.5845,2
44,1671470466532.8596,2
45,1671470481688.9868,2
46,1671470496848.3633,2
47,1671470512001.9219,2
48,1671470527156.7908,2
49,1671470542314.9058,2
50,1671470557461.8816,2
51,1671470572602.1953,2
52,1671470587763.6797,2
53,1671470602919.0732,2
54,1671470618067.908,2
55,1671470633225.4675,2
56,1671470648382.1572,2
57,1671470663528.2102,2
58,1671470678669.8005,2
59,1671470693811.4312,2
60,1671470708964.3533,2
61,1671470724126.2522,2
62,1671470739291.2727,2
63,1671470754431.9438,2
64,1671470769582.121,2
65,1671470784737.2585,2
66,1671470799893.5596,2
67,1671470815032.03,2
68,1671470830171.3123,2
69,1671470845326.7744,2
70,1671470860481.5544,2
71,1671470875633.6377,2
72,1671470890793.085,2
73,1671470905951.2622,2
74,1671470921100.816,2
75,1671470936261.8774,2
76,1671470951401.9895,2
77,1671470966546.1133,1
78,1671470981685.5217,1
79,1671470996842.1267,1
